,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year
201,9,Harry Potter IMAX Marathon,Imax,1729226,330,1357376,330,10/14/16,Harry Potter,2016
202,1,Hellboy II: The Golden Army,Uni.,75986503,3212,34539115,3204,7/11/08,Hellboy,2008
203,2,Hellboy,SonR,59623958,3043,23172440,3028,4/2/04,Hellboy,2004
204,1,The Hobbit: An Unexpected Journey,WB (NL),303003568,4100,84617303,4045,12/14/12,The Hobbit,2012
205,2,The Hobbit: The Desolation of Smaug,WB (NL),258366855,3928,73645197,3903,12/13/13,The Hobbit,2013
206,3,The Hobbit: The Battle of the Five Armies,WB (NL),255119788,3875,54724334,3875,12/17/14,The Hobbit,2014
207,1,Home Alone,Fox,285761243,2173,17081997,1202,11/16/90,Home Alone,1990
208,2,Home Alone 2: Lost in New York,Fox,173585516,2461,31126882,2222,11/20/92,Home Alone,1992
209,3,Home Alone 3,Fox,30882515,2261,5085482,2147,12/12/97,Home Alone,1997
210,1,Hotel Transylvania 2,Sony,169700110,3768,48464322,3754,9/25/15,Hotel Transylvania,2015
211,2,Hotel Transylvania,Sony,148313048,3375,42522194,3349,9/28/12,Hotel Transylvania,2012
212,1,How to Train Your Dragon,P/DW,217581231,4060,43732319,4055,3/26/10,How to Train Your Dragon,2010
213,2,How to Train Your Dragon 2,Fox,177002924,4268,49451322,4253,6/13/14,How to Train Your Dragon,2014
214,1,The Hunger Games: Catching Fire,LGF,424668047,4163,158074286,4163,11/22/13,The Hunger Games,2013
215,2,The Hunger Games,LGF,408010692,4137,152535747,4137,3/23/12,The Hunger Games,2012
216,3,The Hunger Games: Mockingjay - Part 1,LGF,337135885,4151,121897634,4151,11/21/14,The Hunger Games,2014
217,4,The Hunger Games: Mockingjay - Part 2,LGF,281723902,4175,102665981,4175,11/20/15,The Hunger Games,2015
218,1,Ice Age: Dawn of the Dinosaurs,Fox,196573705,4102,41690382,4099,7/1/09,Ice Age,2009
