,Rank,Movie,Studio,Gross,Theatre,Opening,Opening Theatre,Date,Franchise,Year,Imdb Year,Imdb Rating,Meta Score
214,4,Avengers: Age of Ultron,BV,459005868,4276,191271109,4276,5/1/15,Marvel Cinematic Universe,2015,2015,7.4,66
215,5,Iron Man 3,BV,409013994,4253,174144585,4253,5/3/13,Marvel Cinematic Universe,2013,2013,7.2,62
216,6,Captain America: Civil War,BV,408084349,4226,179139142,4226,5/6/16,Marvel Cinematic Universe,2016,2016,7.8,75
217,7,Guardians of the Galaxy Vol. 2,BV,389813101,4347,146510104,4347,5/5/17,Marvel Cinematic Universe,2017,2017,7.7,67
218,8,Spider-Man: Homecoming,Sony,334201140,4348,117027503,4348,7/7/17,Marvel Cinematic Universe,2017,2017,7.5,73
219,9,Guardians of the Galaxy,BV,333176600,4088,94320883,4080,8/1/14,Marvel Cinematic Universe,2014,2014,8.1,76
220,10,Iron Man,Par.,318412101,4154,98618668,4105,5/2/08,Marvel Cinematic Universe,2008,2008,7.9,79
221,11,Thor: Ragnarok,BV,315058289,4080,122744989,4080,11/3/17,Marvel Cinematic Universe,2017,2017,7.9,74
222,12,Iron Man 2,Par.,312433331,4390,128122480,4380,5/7/10,Marvel Cinematic Universe,2010,2010,7.0,57
223,13,Captain America: The Winter Soldier,BV,259766572,3938,95023721,3938,4/4/14,Marvel Cinematic Universe,2014,2014,7.8,70
224,14,Doctor Strange,BV,232641920,3882,85058311,3882,11/4/16,Marvel Cinematic Universe,2016,2016,7.5,72
225,15,Thor: The Dark World,BV,206362140,3841,85737841,3841,11/8/13,Marvel Cinematic Universe,2013,2013,7.0,54
226,16,Thor,Par.,181030624,3963,65723338,3955,5/6/11,Marvel Cinematic Universe,2011,2011,7.0,57
227,17,Ant-Man,BV,180202163,3868,57225526,3856,7/17/15,Marvel Cinematic Universe,2015,2015,7.3,64
228,18,Captain America: The First Avenger,Par.,176654505,3715,65058524,3715,7/22/11,Marvel Cinematic Universe,2011,2011,6.9,66
229,19,The Incredible Hulk,Uni.,134806913,3508,55414050,3505,6/13/08,Marvel Cinematic Universe,2008,2008,6.8,61
230,1,The Matrix Reloaded,WB,281576461,3603,91774413,3603,5/15/03,The Matrix,2003,2003,7.2,62
231,2,The Matrix,WB,171479930,2903,27788331,2849,3/31/99,The Matrix,1999,1999,8.7,73
232,3,The Matrix Revolutions,WB,139313948,3502,48475154,3502,11/5/03,The Matrix,2003,2003,6.7,47
